Age Group,Total,Percent,Male,Percent Male,Female,Percent Female,Male,Percent Male (Negative)
Under 5 years,194660,0.051542215,99030,5.31%,95630,5.00%,-99030,-5.31%
5 to 9 years,215920,0.057171453,110450,5.93%,105470,5.51%,-110450,-5.93%
10 to 14 years,244650,0.064778604,125410,6.73%,119240,6.23%,-125410,-6.73%
15 to 19 years,264270,0.069973601,134250,7.20%,130020,6.80%,-134250,-7.20%
20 to 24 years,247570,0.065551763,124080,6.66%,123490,6.45%,-124080,-6.66%
25 to 29 years,272970,0.072277194,131490,7.06%,141480,7.39%,-131490,-7.06%
30 to 34 years,299030,0.079177379,143250,7.69%,155780,8.14%,-143250,-7.69%
35 to 39 years,320570,0.084880756,156510,8.40%,164060,8.58%,-156510,-8.40%
40 to 44 years,309710,0.082005237,153060,8.21%,156650,8.19%,-153060,-8.21%
45 to 49 years,323900,0.085762476,163510,8.77%,160390,8.38%,-163510,-8.77%
50 to 54 years,303280,0.080302697,152810,8.20%,150470,7.86%,-152810,-8.20%
55 to 59 years,249050,0.065943639,125040,6.71%,124010,6.48%,-125040,-6.71%
60 to 64 years,192250,0.050904094,94950,5.10%,97300,5.09%,-94950,-5.10%
65 to 69 years,111590,0.029546881,53280,2.86%,58310,3.05%,-53280,-2.86%
70 to 74 years,92950,0.024611368,43220,2.32%,49730,2.60%,-43220,-2.32%
75 to 79 years,65290,0.017287533,28260,1.52%,37030,1.94%,-28260,-1.52%
80 to 84 years,40210,0.010646833,15580,0.84%,24630,1.29%,-15580,-0.84%
85 years and over,28840,0.007636276,9320,0.50%,19520,1.02%,-9320,-0.50%
